CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE
RELIANCE,EQ,N,2905,2720.35,2729,2896.1,2890.1,2706.15,11946719,33955652629,2905,2220.3
RELIANCE,EQ,N,2919.95,2808.85,2919.9,2815.25,2818.25,2896.1,7046989,20114536191,2919.95,2220.3
RELIANCE,EQ,N,2868.5,2805,2808,2853.25,2850,2815.25,7565113,21545402809,2919.95,2220.3
RELIANCE,EQ,N,2598.85,2520,2571.05,2527.15,2529.4,2558.1,8868361,22735194766,2630.95,2220.3
RELIANCE,EQ,N,2573.5,2518.25,2527,2562.55,2561,2527.15,6882727,17562946483,2630.95,2220.3
RELIANCE,EQ,N,2580.9,2547.65,2559.6,2565.05,2561,2562.55,8270892,21171713990,2630.95,2220.3
RELIANCE,EQ,N,2591.95,2562.7,2568,2578.05,2579,2565.05,3732832,9630262624,2630.95,2220.3
RELIANCE,EQ,N,2599.9,2573.1,2582,2586.85,2583.35,2578.05,4602078,11903547788,2630.95,2220.3
RELIANCE,EQ,N,2612,2586.85,2589.8,2605.55,2605,2586.85,6151318,16009295263,2630.95,2220.3
RELIANCE,EQ,N,2614,2579.3,2611.1,2584.95,2587,2605.55,5432292,14067490671,2630.95,2220.3
RELIANCE,EQ,N,2606.85,2573.15,2580.55,2590.25,2588.45,2584.95,2015270,5215808110,2630.95,2220.3
RELIANCE,EQ,N,2615,2573,2585,2611.7,2609,2590.25,3724400,9671331568,2630.95,2220.3
RELIANCE,EQ,N,2634,2577.2,2610,2583.3,2580.75,2611.7,4518768,11778006447,2634,2220.3
RELIANCE,EQ,N,2609.85,2579.1,2588,2596.65,2600,2583.3,4806389,12483971503,2634,2220.3
RELIANCE,EQ,N,2619.85,2598,2602.9,2607.7,2609,2596.65,4043203,10539886698,2634,2220.3
RELIANCE,EQ,N,2631.95,2568.95,2610,2587.35,2586,2607.7,3867326,10057168474,2634,2220.3
RELIANCE,EQ,N,2606.8,2577.2,2600,2580.5,2580.5,2587.35,2701537,7003571442,2634,2220.3
RELIANCE,EQ,N,2659,2575.05,2577,2650.1,2655,2580.5,5551370,14526742702,2659,2220.3
RELIANCE,EQ,N,2725,2657,2659,2719.8,2716,2650.1,11862926,31979289600,2725,2220.3
RELIANCE,EQ,N,2746.65,2691.5,2719.8,2741.45,2740.5,2719.8,7506082,20487745085,2746.65,2220.3
RELIANCE,EQ,N,2792.9,2732,2750,2788.25,2786,2741.45,4305297,11920219926,2792.9,2220.3
RELIANCE,EQ,N,2792.6,2741,2779.95,2749.25,2746.8,2788.25,4534512,12563673259,2792.9,2220.3
RELIANCE,EQ,N,2772.55,2710.05,2719,2723.15,2723.5,2749.25,6098691,16702784158,2792.9,2220.3
RELIANCE,EQ,N,2742,2702.5,2702.8,2735.9,2734.75,2723.15,5139719,14005371080,2792.9,2220.3
RELIANCE,EQ,N,2752,2718,2752,2734.9,2736.45,2735.9,5211352,14238941783,2792.9,2220.3
RELIANCE,EQ,N,2766.95,2700,2730,2713.3,2716,2734.9,3641697,9957110929,2792.9,2220.3
RELIANCE,EQ,N,2743.5,2645.1,2743.5,2657.15,2656.75,2713.3,10027710,26823081585,2792.9,2220.3
RELIANCE,EQ,N,2699,2647.85,2670.45,2687.75,2694.9,2657.15,10959564,29199812068,2792.9,2220.3
RELIANCE,EQ,N,2728.3,2670.4,2685.9,2706.15,2711,2687.75,5904436,15924681036,2792.9,2220.3
RELIANCE,EQ,N,2905,2720.35,2729,2896.1,2890.1,2706.15,11946719,33955652629,2905,2220.3
RELIANCE,EQ,N,2316.35,2298.05,2305.55,2314.9,2315.9,2310.55,3867477,8928695452,2630.95,2220.3
